title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium cottage,€639,€919,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,59 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:24",280,30
Premium cottage,€589,€699,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,71m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:24",110,15
Premium cottage Rolstoelvriendelijk,€589,€699,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,64 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:25",110,15
Premium cottage,€879,€939,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,83m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:25",60,6
Premium cottage,€919,€989,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,58 m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:26",70,7
Premium cottage,€919,,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,67m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:27",0,0
Premium Eden cottage Vernieuwd,€759,€779,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,72 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"31-05-2023, 09:22:27",20,2
Premium cottage Rolstoelvriendelijk Vernieuwd,€749,€769,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,60 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"31-05-2023, 09:22:27",20,2
Comfort cottage,€849,€1039,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,56 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:28",190,18
Premium cottage,€959,€1049,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,60 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:29",90,8
Premium cottage,€1089,€1349,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,89 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:29",260,19
Comfort cottage,€619,€799,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,59 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:30",180,22
VIP cottage,€1169,€1369,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,78 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:30",200,14
Comfort cottage,€1309,€1319,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,97m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:30",10,0
Premium cottage,€1319,€1569,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,97m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:31",250,15
Comfort cottage,1369€,,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,73 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:31",0,0
VIP cottage,€2379,€2609,10 pers.,5 Slaapkamers,Van vr. 2 tot ma. 5 jun.,146 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"31-05-2023, 09:22:32",230,8
Comfort cottage,€559,€589,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,71 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:32",30,5
Comfort cottage,€659,€739,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,"87,5 m²","Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:32",80,10
Premium cottage,€669,€799,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,73 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:33",130,16
VIP cottage,€699,€849,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,73 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:33",150,17
Premium cottage,€1019,€1089,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,98 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:34",70,6
VIP cottage,€1079,€1149,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,89 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"31-05-2023, 09:22:34",70,6
Comfort cottage Vernieuwd,€579,€619,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,75 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"31-05-2023, 09:22:35",40,6
Premium cottage Vernieuwd,€599,€649,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,77 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"31-05-2023, 09:22:35",50,7
Premium cottage Vernieuwd,€639,€759,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,84 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"31-05-2023, 09:22:35",120,15
VIP cottage Vernieuwd,€709,€809,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,84 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"31-05-2023, 09:22:36",100,12
Premium cottage Vernieuwd,€719,€809,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,75 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"31-05-2023, 09:22:36",90,11
Comfort cottage,€699,€829,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,67 m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:36",130,15
Comfort cottage,€789,€929,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,65 m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:37",140,15
VIP cottage,€859,€1029,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,94m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"31-05-2023, 09:22:37",170,16
Comfort cottage Vernieuwd,629€,,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,55 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"31-05-2023, 09:22:38",0,0
Comfort cottage,€929,€1039,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,73 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:38",110,10
VIP cottage,€1019,€1069,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,73 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:39",50,4
Exclusive cottage,€1059,€1069,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,78 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:39",10,0
Premium cottage,€1359,€1479,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,100 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:40",120,8
VIP cottage,€1389,€2049,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,125 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:40",660,32
Exclusive cottage,€1439,€1849,8 pers.,4 Slaapkamers,Van vr. 2 tot ma. 5 jun.,123 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:41",410,22
Exclusive cottage,€2379,€2949,12 pers.,6 Slaapkamers,Van vr. 2 tot ma. 5 jun.,196 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"31-05-2023, 09:22:42",570,19
