title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€269,€339,4 pers.,2 Slaapkamers,Van di. 6 tot do. 8 jun.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"25-05-2023, 14:17:17",70,20
Premium Lakeside cottage,€349,€469,4 pers.,2 Slaapkamers,Van di. 27 tot do. 29 jun.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"25-05-2023, 14:17:19",120,25
Premium cottage,€379,€449,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"25-05-2023, 14:17:19",70,15
Premium Lakeside cottage,€409,€479,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"25-05-2023, 14:17:20",70,14
Premium cottage,€299,€399,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"25-05-2023, 14:17:20",100,25
Premium cottage,€389,€559,4 pers.,2 Slaapkamers,Van di. 13 tot do. 15 jun.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 14:17:21",170,30
Premium cottage Vernieuwd,€369,€449,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 14:17:21",80,17
Premium cottage Vernieuwd,€459,€519,6 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 14:17:22",60,11
Premium cottage,€439,€479,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 14:17:22",40,8
Comfort cottage,€449,€599,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,54 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"25-05-2023, 14:17:23",150,25
