title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage Rolstoelvriendelijk,639,919,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:05",280,30
VIP cottage,519,579,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:06",60,10
VIP cottage Rolstoelvriendelijk,919,1239,6 pers.,3 Slaapkamers,Van vr. 14 tot ma. 17 jul.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:06",320,25
VIP cottage,599,669,6 pers.,3 Slaapkamers,Van di. 27 tot do. 29 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:07",70,10
Exclusive cottage,864,959,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:08",95,9
VIP Lakeside cottage,882,979,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:08",97,9
Exclusive Lakeside cottage,959,1139,4 pers.,2 Slaapkamers,Van vr. 16 tot zo. 18 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:09",180,15
Exclusive cottage,989,1429,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:09",440,30
Exclusive Lakeside cottage,999,1299,6 pers.,3 Slaapkamers,Van vr. 9 tot zo. 11 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:10",300,23
VIP Lakeside cottage,384,479,6 pers.,3 Slaapkamers,Van di. 5 tot do. 7 dec.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:10",95,19
VIP cottage,649,869,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:11",220,25
VIP Lakeside cottage,1089,1479,8 pers.,4 Slaapkamers,Van ma. 5 tot vr. 9 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:12",390,26
Exclusive Lakeside cottage,1149,1599,8 pers.,4 Slaapkamers,Van ma. 12 tot vr. 16 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:12",450,28
VIP cottage,1399,1949,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:13",550,28
Exclusive cottage,1679,2339,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:13",660,28
Exclusive Lakeside cottage,1849,2409,12 pers.,6 Slaapkamers,Van ma. 19 tot vr. 23 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"01-06-2023, 13:38:14",560,23
