title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage Rolstoelvriendelijk,259,339,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:24",80,23
VIP cottage,259,339,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:24",80,23
VIP cottage,339,399,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:25",60,15
Exclusive Lakeside cottage,409,489,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:25",80,16
Exclusive cottage,599,949,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 apr.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:25",350,36
Exclusive cottage,789,979,2 pers.,1 Slaapkamer,Van di. 11 tot vr. 14 apr.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:26",190,19
VIP Lakeside cottage,344,429,4 pers.,2 Slaapkamers,Van di. 12 tot do. 14 dec.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:26",85,19
VIP cottage Rolstoelvriendelijk,289,369,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:26",80,21
VIP cottage,289,369,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:26",80,21
VIP Lakeside cottage,369,439,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:27",70,15
VIP cottage,409,529,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:27",120,22
Exclusive Lakeside cottage,429,509,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:27",80,15
VIP Lakeside cottage,509,619,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:28",110,17
Exclusive Lakeside cottage,589,709,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:28",120,16
VIP cottage,719,839,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:28",120,14
Exclusive cottage,719,979,6 pers.,3 Slaapkamers,Van vr. 12 tot zo. 14 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:29",260,26
Exclusive Lakeside cottage,769,919,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:29",150,16
Exclusive cottage,1219,3229,12 pers.,6 Slaapkamers,Van di. 18 tot vr. 21 apr.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"11-04-2023, 11:21:29",2010,62
