title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium Appartement,€369,€689,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,55 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:40:55",320,46
Premium cottage,€409,€579,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,62 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:40:56",170,29
Premium cottage,€439,€719,6 pers.,3 Slaapkamers,Van do. 1 tot za. 3 jun.,79 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:40:56",280,38
Lodgetent,€309,€419,6 pers.,3 Slaapkamers,Van ma. 26 tot wo. 28 jun.,45 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:40:57",110,26
Premium cottage Rolstoelvriendelijk,€479,€589,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,79m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:40:57",110,18
Premium cottage Vernieuwd,€399,€539,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,54 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:40:58",140,25
Premium cottage Vernieuwd,€499,€849,5 pers.,3 Slaapkamers,Van za. 3 tot ma. 5 jun.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:40:58",350,41
Premium cottage Vernieuwd,€399,€759,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,54m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:40:58",360,47
Premium cottage Vernieuwd,€789,€1309,6 pers.,3 Slaapkamers,Van ma. 3 tot vr. 7 jul.,96 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:40:59",520,39
Premium cottage Vernieuwd,€359,€509,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:40:59",150,29
Premium cottage Vernieuwd,€389,€539,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:40:59",150,27
Premium cottage Vernieuwd,€419,€629,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:00",210,33
Rolstoelvriendelijk Premium cottage Vernieuwd,€439,€559,4 pers.,2 Slaapkamers,Van di. 13 tot do. 15 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:00",120,21
Premium cottage Vernieuwd,€399,€579,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:01",180,31
Premium Kindercottage Vernieuwd,€499,€589,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:01",90,15
Premium cottage Vernieuwd,€409,€599,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:02",190,31
Premium cottage Vernieuwd,€419,€669,6 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:03",250,37
VIP cottage,€299,€619,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"01-06-2023, 13:41:03",320,51
Comfort cottage,€219,€299,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"01-06-2023, 13:41:04",80,26
