title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,468,519,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,55 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:01",51,9
Comfort cottage Vernieuwd,477,529,6 pers.,3 Slaapkamers,Van ma. 5 tot do. 8 jun.,75 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:02",52,9
Comfort cottage Vernieuwd,504,559,6 pers.,3 Slaapkamers,Van ma. 5 tot do. 8 jun.,84 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:02",55,9
Premium cottage Vernieuwd,504,559,4 pers.,2 Slaapkamers,Van ma. 5 tot do. 8 jun.,77 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:02",55,9
Premium cottage,558,619,4 pers.,2 Slaapkamers,Van vr. 23 tot ma. 26 jun.,58 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:03",61,9
Premium cottage Vernieuwd,576,639,6 pers.,3 Slaapkamers,Van ma. 5 tot do. 8 jun.,84 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:03",63,9
Premium cottage Vernieuwd,576,639,4 pers.,2 Slaapkamers,Van vr. 23 tot ma. 26 jun.,75 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:04",63,9
Premium cottage,585,649,4 pers.,2 Slaapkamers,Van vr. 23 tot ma. 26 jun.,55 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:05",64,9
VIP cottage Vernieuwd,684,759,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,84 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:05",75,9
VIP cottage Vernieuwd,929,0,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,99 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:06",0,0
Comfort cottage Vernieuwd,549,609,8 pers.,4 Slaapkamers,Van ma. 5 tot do. 8 jun.,99 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:06",60,9
Premium cottage Vernieuwd,747,829,8 pers.,4 Slaapkamers,Van ma. 5 tot do. 8 jun.,99 m²,"Duitsland, Rijnland, Vulkaneifel",Park Eifel,"06-04-2023, 10:32:06",82,9
