title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€229,€319,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:29",90,28
Comfort cottage,€209,€259,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:30",50,19
Comfort cottage,€219,€359,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:31",140,38
Comfort cottage,€239,€379,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:31",140,36
Premium cottage,€269,€379,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:32",110,29
Premium cottage,€289,€389,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:32",100,25
Premium cottage Vernieuwd,€379,€519,5 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:33",140,26
Premium cottage Vernieuwd,€369,€509,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:34",140,27
Premium cottage Rolstoelvriendelijk Vernieuwd,€497,€689,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,73m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:34",192,27
Comfort cottage Vernieuwd,€289,€399,5 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:35",110,27
Comfort cottage Vernieuwd,€279,€379,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,62m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:35",100,26
Premium cottage,€369,€519,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:36",150,28
Premium cottage,€419,€549,5 pers.,3 Slaapkamers,Van wo. 28 tot vr. 30 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:37",130,23
Comfort cottage,€409,€609,4 pers.,2 Slaapkamers,Van vr. 9 tot ma. 12 jun.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:37",200,32
Comfort cottage,€379,€519,5 pers.,3 Slaapkamers,Van ma. 26 tot wo. 28 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:38",140,26
Rolstoelvriendelijk VIP cottage,€639,€919,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:38",280,30
VIP cottage,€519,€579,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:39",60,10
Rolstoelvriendelijk VIP cottage,€759,€1069,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:40",310,28
VIP cottage,€599,€669,6 pers.,3 Slaapkamers,Van di. 27 tot do. 29 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:40",70,10
Premium cottage Vernieuwd,€349,€539,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:13:41",190,35
Comfort cottage Vernieuwd,€259,€399,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,66m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:13:41",140,35
Comfort cottage Vernieuwd,€279,€429,6 pers.,3 Slaapkamers,Van ma. 5 tot wo. 7 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:13:42",150,34
Premium cottage,€189,€269,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,40 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:43",80,29
VIP cottage,€259,€349,2 pers.,1 Slaapkamer,Van ma. 19 tot wo. 21 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:43",90,25
Comfort cottage,€279,€379,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:44",100,26
Comfort cottage,€299,€319,8 pers.,4 Slaapkamers,Van wo. 14 tot vr. 16 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:44",20,6
VIP cottage,€309,€449,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:45",140,31
VIP cottage,€359,€519,6 pers.,3 Slaapkamers,Van wo. 14 tot vr. 16 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:45",160,30
Premium cottage,€389,€559,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:46",170,30
Premium cottage,€649,€1019,12 pers.,6 Slaapkamers,Van wo. 21 tot vr. 23 jun.,131 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:46",370,36
Premium cottage,€769,€1219,14 pers.,7 Slaapkamers,Van wo. 21 tot vr. 23 jun.,171 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:47",450,36
VIP cottage,€1579,€1949,8 pers.,4 Slaapkamers,Van vr. 21 tot ma. 24 jul.,93 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:47",370,18
Premium cottage,€1879,€2439,18 pers.,9 Slaapkamers,Van vr. 7 tot zo. 9 jul.,211 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:48",560,22
VIP cottage Vernieuwd,€389,€549,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,66m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:48",160,29
VIP cottage Vernieuwd,€429,€519,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:49",90,17
