title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,169,359,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:45",190,52
Premium Lakeside cottage,239,449,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:46",210,46
Premium cottage,239,469,6 pers.,3 Slaapkamers,Van ma. 29 tot wo. 31 mei.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:46",230,49
Premium Lakeside cottage,259,499,6 pers.,3 Slaapkamers,Van ma. 29 tot wo. 31 mei.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:46",240,48
Premium cottage,199,419,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:46",220,52
Comfort cottage,209,439,6 pers.,3 Slaapkamers,Van ma. 29 tot wo. 31 mei.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:47",230,52
VIP cottage,239,469,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,70m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:47",230,49
VIP Lakeside cottage,289,499,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,70 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:47",210,42
Premium cottage,279,569,8 pers.,4 Slaapkamers,Van ma. 29 tot wo. 31 mei.,70 m²,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:48",290,50
Premium Lakeside cottage,453,629,8 pers.,4 Slaapkamers,Van wo. 21 tot vr. 23 jun.,,"Frankrijk, Picardië, Laon",Le Lac d'Ailette,"04-04-2023, 15:48:48",176,27
