title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€219,€279,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:40",60,21
Comfort cottage,€209,€259,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:41",50,19
Comfort cottage,€219,€359,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:42",140,38
Comfort cottage,€239,€379,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:42",140,36
Premium cottage,€269,€379,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:43",110,29
Premium cottage,€289,€389,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"25-05-2023, 11:26:43",100,25
Premium cottage Vernieuwd,€339,€519,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:26:44",180,34
Premium cottage Vernieuwd,€309,€409,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:26:45",100,24
Premium cottage Rolstoelvriendelijk Vernieuwd,€779,€949,4 pers.,2 Slaapkamers,Van di. 11 tot do. 13 jul.,73m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:26:45",170,17
Comfort cottage Vernieuwd,€289,€399,5 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,64m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:26:46",110,27
Comfort cottage Vernieuwd,€269,€379,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,62m²,"België, Limburg, Peer",Erperheide,"25-05-2023, 11:26:47",110,29
