title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€159,€239,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:36",80,33
Comfort cottage,€129,€209,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:36",80,38
Comfort cottage,€159,€239,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:37",80,33
Comfort cottage,€189,€269,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:37",80,29
Premium cottage,€199,€289,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:38",90,31
Premium cottage,€219,€309,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:27:38",90,29
Premium cottage Vernieuwd,€349,,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:27:38",0,0
Premium cottage Vernieuwd,€329,,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:27:38",0,0
Premium cottage Rolstoelvriendelijk Vernieuwd,€329,,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,73m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:27:39",0,0
Comfort cottage Vernieuwd,€289,,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:27:39",0,0
Comfort cottage Vernieuwd,269€,,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,62m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:27:39",0,0
Premium cottage,€209,€289,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:27:40",80,27
Premium cottage,€229,€309,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:27:40",80,25
Comfort cottage,€169,€229,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:27:40",60,26
Comfort cottage,€179,€259,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:27:41",80,30
Rolstoelvriendelijk VIP cottage,€259,€339,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:27:41",80,23
VIP cottage,€259,€339,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:27:41",80,23
Rolstoelvriendelijk VIP cottage,€289,€369,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:27:42",80,21
VIP cottage,€289,€369,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:27:42",80,21
Premium cottage Vernieuwd,€359,€439,6 pers.,3 Slaapkamers,Van ma. 22 tot wo. 24 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:27:42",80,18
Comfort cottage Vernieuwd,€269,€439,4 pers.,2 Slaapkamers,Van wo. 24 tot vr. 26 mei.,66m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:27:43",170,38
Comfort cottage Vernieuwd,€289,€509,6 pers.,3 Slaapkamers,Van wo. 24 tot vr. 26 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:27:43",220,43
Premium cottage,€399,€519,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,62 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"11-04-2023, 11:27:44",120,23
Premium cottage,€349,€499,6 pers.,3 Slaapkamers,Van di. 18 tot do. 20 apr.,79 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"11-04-2023, 11:27:44",150,30
Rolstoelvriendelijk Premium cottage,€519,€679,6 pers.,3 Slaapkamers,Van zo. 23 tot di. 25 apr.,79m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"11-04-2023, 11:27:44",160,23
Premium cottage Vernieuwd,€359,€599,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,54 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 11:27:45",240,40
Premium cottage Vernieuwd,€529,€749,5 pers.,3 Slaapkamers,Van zo. 7 tot di. 9 mei.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 11:27:45",220,29
Premium cottage Vernieuwd,€379,€759,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,54m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 11:27:46",380,50
Premium cottage Vernieuwd,€379,€649,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,96 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 11:27:46",270,41
Comfort cottage,€179,€359,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 11:27:46",180,50
Premium Lakeside cottage,€239,€449,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 11:27:47",210,46
Premium cottage,€249,€469,6 pers.,3 Slaapkamers,Van ma. 29 tot wo. 31 mei.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 11:27:47",220,46
Premium Lakeside cottage,€259,€499,6 pers.,3 Slaapkamers,Van ma. 29 tot wo. 31 mei.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 11:27:48",240,48
Premium cottage,€209,€419,4 pers.,2 Slaapkamers,Van ma. 29 tot wo. 31 mei.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 11:27:48",210,50
Premium cottage,€449,€559,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,53 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"11-04-2023, 11:27:48",110,19
Premium cottage Vernieuwd,€359,€469,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,53 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"11-04-2023, 11:27:49",110,23
Premium cottage Vernieuwd,€429,€539,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"11-04-2023, 11:27:49",110,20
Premium cottage,€419,€509,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"11-04-2023, 11:27:50",90,17
Premium cottage Vernieuwd,€419,€459,4 pers.,2 Slaapkamers,Van di. 23 tot do. 25 mei.,64m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"11-04-2023, 11:27:50",40,8
Premium cottage Vernieuwd,€439,€479,4 pers.,2 Slaapkamers,Van di. 23 tot do. 25 mei.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"11-04-2023, 11:27:51",40,8
Premium cottage Vernieuwd,€489,€589,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"11-04-2023, 11:27:51",100,16
Comfort cottage,€379,€489,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,54 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"11-04-2023, 11:27:51",110,22
Premium cottage,€429,€579,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,57 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"11-04-2023, 11:27:52",150,25
Premium cottage,€529,€689,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,70 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"11-04-2023, 11:27:52",160,23
Rolstoelvriendelijk Premium cottage Vernieuwd,€529,€769,4 pers.,2 Slaapkamers,Van wo. 26 tot vr. 28 apr.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"11-04-2023, 11:27:53",240,31
Premium cottage Vernieuwd,€399,€499,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"11-04-2023, 11:27:53",100,20
Premium Kindercottage Vernieuwd,€499,€619,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"11-04-2023, 11:27:54",120,19
Premium cottage Vernieuwd,€409,€499,5 pers.,3 Slaapkamers,Van wo. 19 tot vr. 21 apr.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"11-04-2023, 11:27:54",90,18
Premium cottage Vernieuwd,€469,€779,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"11-04-2023, 11:27:54",310,39
Comfort cottage,€329,€499,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"11-04-2023, 11:27:55",170,34
Premium cottage,€349,€499,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"11-04-2023, 11:27:55",150,30
Premium cottage,€379,€579,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,70 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"11-04-2023, 11:27:56",200,34
VIP cottage,€309,€409,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"11-04-2023, 11:27:56",100,24
