title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€234,€259,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:16",25,9
Comfort cottage,€225,€249,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:16",24,9
Comfort cottage,€252,€279,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:17",27,9
Comfort cottage,€270,€299,6 pers.,3 Slaapkamers,Van wo. 28 tot vr. 30 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:17",29,9
Premium cottage,€333,€369,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:18",36,9
Premium cottage,€378,€419,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 11:06:18",41,9
Premium cottage Vernieuwd,€450,€499,5 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:06:18",49,9
Premium cottage Vernieuwd,€369,€409,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:06:19",40,9
Premium cottage Rolstoelvriendelijk Vernieuwd,€459,€509,4 pers.,2 Slaapkamers,Van di. 27 tot do. 29 jun.,73m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:06:19",50,9
Comfort cottage Vernieuwd,€342,€379,5 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:06:20",37,9
Comfort cottage Vernieuwd,€333,€369,4 pers.,2 Slaapkamers,Van di. 13 tot do. 15 jun.,62m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:06:20",36,9
Premium cottage,€468,€519,4 pers.,2 Slaapkamers,Van di. 27 tot do. 29 jun.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:06:21",51,9
Premium cottage,€495,€549,5 pers.,3 Slaapkamers,Van di. 27 tot do. 29 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:06:21",54,9
Comfort cottage,€423,€469,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:06:22",46,9
Comfort cottage,€486,€539,5 pers.,3 Slaapkamers,Van wo. 28 tot vr. 30 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:06:22",53,9
