title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage Rolstoelvriendelijk,639,919,4 pers.,2 Slaapkamers,Van vr. 2 tot ma. 5 jun.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:04",280,30
VIP cottage,449,649,4 pers.,2 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:04",200,30
VIP cottage Rolstoelvriendelijk,729,1079,6 pers.,3 Slaapkamers,Van ma. 19 tot vr. 23 jun.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:05",350,32
VIP cottage,519,749,6 pers.,3 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:05",230,30
Exclusive Lakeside cottage,669,929,6 pers.,3 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:05",260,27
Exclusive cottage,929,1249,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 jul.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:06",320,25
Exclusive Lakeside cottage,959,1139,4 pers.,2 Slaapkamers,Van vr. 16 tot zo. 18 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:06",180,15
VIP Lakeside cottage,969,1399,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:07",430,30
Exclusive cottage,989,1429,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:07",440,30
VIP Lakeside cottage,344,429,4 pers.,2 Slaapkamers,Van ma. 11 tot wo. 13 dec.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:07",85,19
VIP cottage,649,869,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:08",220,25
VIP Lakeside cottage,1089,1479,8 pers.,4 Slaapkamers,Van ma. 5 tot vr. 9 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:08",390,26
Exclusive Lakeside cottage,1149,1599,8 pers.,4 Slaapkamers,Van ma. 12 tot vr. 16 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:09",450,28
VIP cottage,1399,1949,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:09",550,28
Exclusive cottage,1679,2339,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:09",660,28
Exclusive Lakeside cottage,1849,2409,12 pers.,6 Slaapkamers,Van ma. 19 tot vr. 23 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort by Center Parcs,"25-05-2023, 11:17:10",560,23
