title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€229,€319,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:39",90,28
Comfort cottage,€209,€259,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:40",50,19
Comfort cottage,€219,€359,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:41",140,38
Comfort cottage,€239,€379,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:41",140,36
Premium cottage,€269,€379,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:43",110,29
Premium cottage,€289,€389,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 14:07:43",100,25
Premium cottage Vernieuwd,€379,€519,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 14:07:44",140,26
Premium cottage Vernieuwd,€369,€509,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 14:07:45",140,27
Premium cottage Rolstoelvriendelijk Vernieuwd,€621,€689,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,73m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 14:07:45",68,9
Comfort cottage Vernieuwd,€289,€399,5 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 14:07:46",110,27
Comfort cottage Vernieuwd,€476,€559,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,62m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 14:07:46",83,14
Premium cottage,€578,€679,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 14:07:47",101,14
Premium cottage,€612,€719,5 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 14:07:48",107,14
Comfort cottage,€476,€559,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 14:07:48",83,14
Comfort cottage,€501,€589,5 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 14:07:49",88,14
Rolstoelvriendelijk VIP cottage,€705,€829,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 14:07:49",124,14
VIP cottage,€705,€829,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 14:07:50",124,14
Rolstoelvriendelijk VIP cottage,€799,€939,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 14:07:51",140,14
VIP cottage,€799,€939,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 14:07:51",140,14
Premium cottage Vernieuwd,€680,€799,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 14:07:52",119,14
Comfort cottage Vernieuwd,€510,€599,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,66m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 14:07:52",89,14
Comfort cottage Vernieuwd,€595,€699,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 14:07:53",104,14
Premium cottage,€399,€469,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,62 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 14:07:53",70,14
Premium cottage,€459,€539,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,79 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 14:07:54",80,14
Rolstoelvriendelijk Premium cottage,€459,€539,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,79m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 14:07:55",80,14
Premium cottage Vernieuwd,€595,€699,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,54 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 14:07:55",104,14
Premium cottage Vernieuwd,€714,€839,5 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 14:07:56",125,14
Premium cottage Vernieuwd,€680,€799,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,54m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 14:07:56",119,14
Comfort cottage,€467,€549,4 pers.,2 Slaapkamers,Van vr. 10 tot zo. 12 nov.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"01-06-2023, 14:07:57",82,14
Premium Lakeside cottage,€561,€659,4 pers.,2 Slaapkamers,Van za. 11 tot ma. 13 nov.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"01-06-2023, 14:07:58",98,14
Premium cottage,€612,€719,6 pers.,3 Slaapkamers,Van vr. 10 tot zo. 12 nov.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"01-06-2023, 14:07:58",107,14
Premium Lakeside cottage,€654,€769,6 pers.,3 Slaapkamers,Van vr. 10 tot zo. 12 nov.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"01-06-2023, 14:07:59",115,14
Premium cottage,€527,€619,4 pers.,2 Slaapkamers,Van za. 11 tot ma. 13 nov.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"01-06-2023, 14:07:59",92,14
Premium cottage,€569,€669,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"01-06-2023, 14:08:00",100,14
Premium cottage Vernieuwd,€595,€699,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"01-06-2023, 14:08:00",104,14
Premium cottage Vernieuwd,€722,€849,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"01-06-2023, 14:08:01",127,14
Premium cottage,€688,€809,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"01-06-2023, 14:08:02",121,14
Premium cottage Vernieuwd,€476,€559,4 pers.,2 Slaapkamers,Van zo. 12 tot wo. 15 nov.,64m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 14:08:02",83,14
Premium cottage Vernieuwd,€501,€589,4 pers.,2 Slaapkamers,Van za. 11 tot ma. 13 nov.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 14:08:03",88,14
Premium cottage Vernieuwd,€595,€699,6 pers.,3 Slaapkamers,Van zo. 12 tot wo. 15 nov.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 14:08:03",104,14
Comfort cottage,€603,€709,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,54 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",106,14
Premium cottage,€663,€779,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,57 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",116,14
Premium cottage,€841,€989,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,70 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",148,14
