title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€579,€809,6 pers.,3 Slaapkamers,Van di. 11 tot do. 13 apr.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 10:58:47",230,28
Premium cottage,€409,€539,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 10:58:47",130,24
Premium cottage,€689,€1039,6 pers.,3 Slaapkamers,Van di. 11 tot do. 13 apr.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"11-04-2023, 10:58:48",350,33
Comfort cottage Vernieuwd,€439,€489,5 pers.,3 Slaapkamers,Van vr. 14 tot zo. 16 apr.,64m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 10:58:48",50,10
VIP cottage Rolstoelvriendelijk,€519,€829,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 apr.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 10:58:48",310,37
VIP cottage,€519,€829,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 apr.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 10:58:48",310,37
VIP cottage Rolstoelvriendelijk,€819,€1309,6 pers.,3 Slaapkamers,Van di. 11 tot vr. 14 apr.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 10:58:49",490,37
VIP cottage,€569,€969,6 pers.,3 Slaapkamers,Van vr. 14 tot ma. 17 apr.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 10:58:49",400,41
Premium cottage Vernieuwd,€949,€1299,6 pers.,3 Slaapkamers,Van wo. 12 tot vr. 14 apr.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 10:58:49",350,26
Premium cottage,€699,,4 pers.,2 Slaapkamers,Van wo. 12 tot vr. 14 apr.,62 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"11-04-2023, 10:58:49",0,0
Premium cottage,€589,€839,6 pers.,3 Slaapkamers,Van di. 11 tot do. 13 apr.,79 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"11-04-2023, 10:58:49",250,29
Premium cottage Vernieuwd,€629,€779,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,54 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 10:58:50",150,19
Premium cottage Vernieuwd,€749,€799,5 pers.,3 Slaapkamers,Van vr. 14 tot zo. 16 apr.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 10:58:50",50,6
Premium cottage Vernieuwd,€809,€969,6 pers.,3 Slaapkamers,Van vr. 14 tot zo. 16 apr.,54m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"11-04-2023, 10:58:50",160,16
Comfort cottage,€419,€799,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 10:58:50",380,47
Premium Lakeside cottage,€499,€959,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 10:58:51",460,47
Premium cottage,€509,€1049,6 pers.,3 Slaapkamers,Van vr. 14 tot zo. 16 apr.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 10:58:51",540,51
Premium Lakeside cottage,€559,€1129,6 pers.,3 Slaapkamers,Van vr. 14 tot zo. 16 apr.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 10:58:51",570,50
Premium cottage,€439,€899,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"11-04-2023, 10:58:51",460,51
Premium cottage Vernieuwd,€719,€959,4 pers.,2 Slaapkamers,Van vr. 14 tot zo. 16 apr.,53 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"11-04-2023, 10:58:52",240,25
