title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€159,€239,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:25",80,33
Comfort cottage,€129,€209,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,50 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:25",80,38
Comfort cottage,€159,€239,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:25",80,33
Comfort cottage,€189,€269,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:25",80,29
Premium cottage,€199,€289,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:26",90,31
Premium cottage,€219,€309,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"04-04-2023, 12:20:26",90,29
Premium cottage Vernieuwd,€349,,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,64m²,"België, Limburg, Peer",Erperheide,"04-04-2023, 12:20:26",0,0
Premium cottage Vernieuwd,€295,€409,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,64m²,"België, Limburg, Peer",Erperheide,"04-04-2023, 12:20:26",114,27
Premium cottage Rolstoelvriendelijk Vernieuwd,€329,,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,73m²,"België, Limburg, Peer",Erperheide,"04-04-2023, 12:20:27",0,0
Comfort cottage Vernieuwd,€273,€379,5 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,64m²,"België, Limburg, Peer",Erperheide,"04-04-2023, 12:20:27",106,27
